listing_id,name,host_id,host_name,Boroughs,neighbourhood,price,number_of_reviews,last_review,reviews_per_month,availability_365,Boroughs_ID
5328633,Home in New York Check Fall and Winter Prices,24323308,Ricardo,Queens,Ditmars Steinway,225,79,9/22/2017,2.84,284,4.0
4645841,"Beautiful 1BDR, 20min to Times Sq",19516856,Andrew & Daniela,Queens,Ditmars Steinway,129,9,7/14/2017,0.27,92,4.0
11098211,Lovely warm place in New York City,57635479,Zack,Queens,Ditmars Steinway,165,5,9/20/2017,0.48,345,4.0
876792,Private Room 15 min. to Manhattan,1488404,Tim,Queens,Ditmars Steinway,69,67,9/10/2017,1.22,248,4.0
11624694,Newly Furnished 1BD Near Train!,2666654,Frankie,Queens,Ditmars Steinway,120,128,9/30/2017,7.08,308,4.0
3499016,House 1 Bed $100/ night per person,17618198,Edvaldo,Queens,Ditmars Steinway,100,2,9/22/2014,0.05,365,4.0
5728500,Cozy Private Room in Astoria,23185328,Deniz,Queens,Ditmars Steinway,58,34,1/23/2017,1.12,154,4.0
3835681,"Great location, new lower rates!!!",3339701,Angelo,Queens,Ditmars Steinway,50,98,9/7/2017,2.61,334,4.0
12814991,Skyline Views & Rooftop Deck!,34034047,Cory,Queens,Ditmars Steinway,159,15,9/21/2017,0.91,1,4.0
20942352,Private Room in Astoria minutes to NYC,150565606,Mayra,Queens,Ditmars Steinway,47,2,10/1/2017,2.0,182,4.0
8507328,"MIDTOWN, MANHATTAN,COLONIAL,ROOM",44213272,Gema,Queens,Ditmars Steinway,50,57,9/25/2017,2.31,350,4.0
21023313,Katie and Danny's Astoria apartment,121283308,Katlynn,Queens,Ditmars Steinway,49,1,10/1/2017,1.0,61,4.0
12630490,NEW - 2 Bed. 10 Min. to Manhattan!,68585220,Drew,Queens,Ditmars Steinway,135,27,6/7/2017,1.55,340,4.0
20674263,Nice and affordable bedroom in Astoria,6314221,Marize,Queens,Ditmars Steinway,60,2,9/18/2017,2.0,0,4.0
10136508,Charming private room in Astoria-20 min to Midtown,17653796,Diana,Queens,Ditmars Steinway,45,18,9/25/2017,1.23,110,4.0
14856378,★Spacious 3 bedrm★ Astoria Park | ❤ of NYC | ★★★★★,93021553,Sean,Queens,Ditmars Steinway,153,43,9/18/2017,3.42,300,4.0
7385692,"Huge 1 bdr, convenient location!",38404959,Maria,Queens,Ditmars Steinway,85,2,8/2/2017,0.08,365,4.0
