AirBnB_Listings_Table_NYC
Borough_ID,Borough,Price,Min_Number_Nights_Booked,Total_Reviews,Reviews_Per_Month,Number_of_Listings,Annual_Availability_(Days)
1,Bronx,47,2,9,2.33,2,325
1,Bronx,75,7,0,,3,353
1,Bronx,35,5,6,1.62,3,118
1,Bronx,35,7,15,0.96,3,168
1,Bronx,55,1,13,0.81,1,215
1,Bronx,199,2,15,3.66,3,155
1,Bronx,200,2,27,1.53,3,349
1,Bronx,40,1,4,1.88,1,330
1,Bronx,60,3,82,1.51,2,342
1,Bronx,70,2,0,,1,0
1,Bronx,100,2,1,1,1,364
1,Bronx,65,1,34,0.66,1,257
1,Bronx,80,7,7,1.06,1,1
1,Bronx,33,2,22,1.51,3,7
1,Bronx,110,1,0,,1,364
1,Bronx,71,7,13,0.47,1,58
1,Bronx,41,2,22,1.41,3,72
1,Bronx,49,2,22,1.41,3,70
1,Bronx,90,2,69,2.72,1,316
1,Bronx,165,1,5,2.54,1,80
1,Bronx,54,1,139,5.57,1,0
1,Bronx,135,4,0,,1,0
1,Bronx,90,15,0,,1,0
1,Bronx,40,1,0,,1,0
1,Bronx,180,1,0,,1,0
1,Bronx,50,2,3,3,1,15
1,Bronx,49,2,39,1.29,1,345
1,Bronx,150,1,48,2.64,1,317
1,Bronx,2500,2,0,,3,176
1,Bronx,50,2,165,3.47,1,65
1,Bronx,49,1,2,0.12,1,361
1,Bronx,44,1,0,,1,0
1,Bronx,200,1,1,1,3,102
1,Bronx,85,1,0,,1,0
1,Bronx,2500,2,0,,3,270
1,Bronx,42,3,10,2.14,2,167
1,Bronx,20,1,37,5.36,1,69
1,Bronx,40,5,2,0.24,2,350
1,Bronx,40,7,9,0.98,2,325
1,Bronx,71,2,62,4.12,1,42
1,Bronx,34,2,10,2.34,2,169
1,Bronx,200,2,0,,2,169
1,Bronx,49,5,12,0.6,1,340
1,Bronx,400,2,2,1.33,2,348
1,Bronx,120,1,18,1.05,1,343
1,Bronx,40,1,5,0.34,1,83
1,Bronx,70,5,0,,1,52
1,Bronx,40,5,0,,3,62
1,Bronx,425,5,0,,1,363
1,Bronx,89,1,3,0.3,1,363
1,Bronx,838,1,0,,1,180
1,Bronx,33,3,2,0.22,3,91
1,Bronx,40,3,2,0.14,3,305
1,Bronx,39,2,0,,1,335
1,Bronx,205,2,2,0.43,1,283
1,Bronx,500,2,0,,2,324
1,Bronx,825,1,0,,2,176
1,Bronx,49,3,1,0.45,1,150
1,Bronx,99,1,11,1.43,1,364
1,Bronx,95,1,0,,2,365
1,Bronx,95,1,58,13.59,1,343
